season,event_code,league,event_title,zone_id,zone_name,zone_type,stage_bucket,match_id,group_id,match_type,order_number,plan_game_count,plan_started_at,match_date,status,result,slug,slug_name,winner_placehold_name,loser_placehold_name,blue_side_score,blue_side_win_game_count,red_side_score,red_side_win_game_count,blue_side_id,blue_fill_status,blue_prepared_status,blue_player_id,blue_player_name,blue_player_rank,blue_player_score,blue_team_id,blue_team_name,blue_college_name,blue_college_logo,red_side_id,red_fill_status,red_prepared_status,red_player_id,red_player_name,red_player_rank,red_player_score,red_team_id,red_team_name,red_college_name,red_college_logo,winner_team_id,winner_team_name,winner_college_name,winner_side
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27881,2587,GROUP,1,2,2026-03-20T07:00:00Z,2026-03-20,DONE,RED,,,,,0,0,3,2,55973,DONE,TO_GAME_FIELD,11187,A4,2,6,3032,京喜,武汉华夏理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e2f749d3-2ddd-4cb4-ac73-a47be023fb2e,55972,DONE,TO_GAME_FIELD,11184,A1,1,9,683,WDR,合肥工业大学（宣城校区）,https://rm-static.djicdn.com/games-backend/6b928c7e-4ab6-48ab-8a5a-39836fd182c7,683,WDR,合肥工业大学（宣城校区）,red
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27883,2587,GROUP,3,2,2026-03-20T07:40:00Z,2026-03-20,DONE,BLUE,,,,,3,2,0,0,55977,DONE,TO_GAME_FIELD,11186,A3,3,3,2806,巡天御风,南京航空航天大学（天目湖校区）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/623e992f-f617-4e90-ad03-3b95a861ab85,55976,DONE,TO_GAME_FIELD,11185,A2,4,0,3049,工夫,广东以色列理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/bb951d31-0df1-4da6-a4b7-8939c60910ac,2806,巡天御风,南京航空航天大学（天目湖校区）,blue
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27891,2587,GROUP,11,2,2026-03-21T02:10:00Z,2026-03-21,DONE,BLUE,,,,,3,2,0,0,55993,DONE,TO_GAME_FIELD,11184,A1,1,9,683,WDR,合肥工业大学（宣城校区）,https://rm-static.djicdn.com/games-backend/6b928c7e-4ab6-48ab-8a5a-39836fd182c7,55992,DONE,TO_GAME_FIELD,11186,A3,3,3,2806,巡天御风,南京航空航天大学（天目湖校区）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/623e992f-f617-4e90-ad03-3b95a861ab85,683,WDR,合肥工业大学（宣城校区）,blue
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27893,2587,GROUP,13,2,2026-03-21T02:50:00Z,2026-03-21,DONE,BLUE,,,,,3,2,0,0,55997,DONE,TO_GAME_FIELD,11187,A4,2,6,3032,京喜,武汉华夏理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e2f749d3-2ddd-4cb4-ac73-a47be023fb2e,55996,DONE,TO_GAME_FIELD,11185,A2,4,0,3049,工夫,广东以色列理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/bb951d31-0df1-4da6-a4b7-8939c60910ac,3032,京喜,武汉华夏理工学院,blue
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27901,2587,GROUP,21,2,2026-03-21T06:30:00Z,2026-03-21,DONE,RED,,,,,0,0,3,2,56013,DONE,TO_GAME_FIELD,11185,A2,4,0,3049,工夫,广东以色列理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/bb951d31-0df1-4da6-a4b7-8939c60910ac,56012,DONE,TO_GAME_FIELD,11184,A1,1,9,683,WDR,合肥工业大学（宣城校区）,https://rm-static.djicdn.com/games-backend/6b928c7e-4ab6-48ab-8a5a-39836fd182c7,683,WDR,合肥工业大学（宣城校区）,red
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27903,2587,GROUP,23,2,2026-03-21T07:10:00Z,2026-03-21,DONE,RED,,,,,0,0,3,2,56017,DONE,TO_GAME_FIELD,11186,A3,3,3,2806,巡天御风,南京航空航天大学（天目湖校区）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/623e992f-f617-4e90-ad03-3b95a861ab85,56016,DONE,TO_GAME_FIELD,11187,A4,2,6,3032,京喜,武汉华夏理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e2f749d3-2ddd-4cb4-ac73-a47be023fb2e,3032,京喜,武汉华夏理工学院,red
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27885,2588,GROUP,5,2,2026-03-20T08:20:00Z,2026-03-20,DONE,BLUE,,,,,3,2,0,0,55981,DONE,TO_GAME_FIELD,11190,B3,1,6,3084,潜云DGE,湖北第二师范学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/ed5b9c10-06f5-4774-98ef-725b9ed40fe8,55980,DONE,TO_GAME_FIELD,11188,B1,2,3,676,Climber,常州大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e8a579bb-264e-4eee-88b7-ccc1a64b4729,3084,潜云DGE,湖北第二师范学院,blue
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27895,2588,GROUP,15,2,2026-03-21T03:30:00Z,2026-03-21,DONE,BLUE,,,,,3,2,0,0,56001,DONE,TO_GAME_FIELD,11188,B1,2,3,676,Climber,常州大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e8a579bb-264e-4eee-88b7-ccc1a64b4729,56000,DONE,TO_GAME_FIELD,11189,B2,3,0,3019,机械之心,湖北科技学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/8ae0f7b4-daab-41ea-b4b8-6382749defc0,676,Climber,常州大学,blue
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27905,2588,GROUP,25,2,2026-03-21T07:50:00Z,2026-03-21,DONE,RED,,,,,0,0,3,2,56021,DONE,TO_GAME_FIELD,11189,B2,3,0,3019,机械之心,湖北科技学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/8ae0f7b4-daab-41ea-b4b8-6382749defc0,56020,DONE,TO_GAME_FIELD,11190,B3,1,6,3084,潜云DGE,湖北第二师范学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/ed5b9c10-06f5-4774-98ef-725b9ed40fe8,3084,潜云DGE,湖北第二师范学院,red
2026,2026RMUL,RMUL,RoboMaster 2026 高校联盟赛-3V3对抗赛,581,安徽站,GROUP_ZONE,group,27886,2589,GROUP,6,2,2026-03-20T08:40:00Z,2026-03-20,DONE,RED,,,,,0,0,3,2,55983,DONE,TO_GAME_FIELD,11195,C3,3,0,3048,lamb,武汉生物工程学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/b658fd29-95c0-4655-9848-c92327f5ff27,55982,DONE,TO_GAME_FIELD,11191,C1,1,6,682,RoboWalker,中国科学技术大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/096f1b222fd545e2ac0de6ece5f2abf11772631439377/中国科学技术大学校徽.png,682,RoboWalker,中国科学技术大学,red
