season,event_code,league,event_title,zone_id,zone_name,zone_type,group_id,group_name,player_id,player_name,player_rank,player_score,team_id,team_name,college_name,college_logo
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126001,A1,6,18.04,960001,TRoMaC,太原理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/bcceed5a-13b9-4a19-8236-56b2bb40b58b
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126002,A2,13,13.34,960002,狼牙,华中科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525675209294-logo_blue_800x800.png
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126003,A3,1,25.0,960003,交龙,上海交通大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/60fb7f8b8fed42bebc4af6ba742c217c1761746244661/bf828c7a-f2a9-43fc-ac10-9cdf8eba3226.png
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126004,A4,29,4.175,960004,VANGUARD,华南师范大学（佛山校区）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/da385649-5afe-4072-af0c-076884bdfd0a
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126005,A5,5,20.0,960005,RobotPilots,深圳大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667668942-logo_red_800x800.png
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126006,A6,19,8.25,960006,群星,桂林理工大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525675274637-logo_blue_800x800.png
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126007,A7,4,20.0,960007,DynamicX,广东工业大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/257785f9-4ac3-4369-8e60-49ffe0b141e8
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126008,A8,24,6.165,960008,奇点,仲恺农业工程学院,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667218422-logo_green_800x800.png
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126009,A9,23,6.28,960009,GMaster,西交利物浦大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525680126695-logo_black_800x800.png
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126010,A10,12,14.3,960010,Nautilus,武汉工程大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/a413c7fa-e03f-4b01-922a-fc05d46aba6f
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126011,A11,10,15.5,960011,FYT,中南大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525676967503-logo_blue_800x800.png
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126012,A12,28,4.65,960012,崇实,武汉科技大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/884b768f5be84ed1aca7b8aeeeed61a71761836966818/1 标准标志.png
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126013,A13,16,9.465,960013,野狼,广州城市理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/9365936c-3c07-449d-8e0e-2ed9e050e0f3
2026,2026RMUC,RMUC,RoboMaster 2026 超级对抗赛,660,南部赛区,GROUP_ZONE,2601,A,126014,A14,25,5.975,960014,云嵌,长沙理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/956efdbf-ed6c-4af2-ab13-6099e522ada6
