season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,w_d_l,wins,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage,metrics_json
2025,2025RMUC,RMUC,565,南部赛区,A组,1,中国石油大学（华东）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/ca37313c-d7ce-4887-a872-fe558d3e39bd,RPS,3/0/0,3,4,3212,113,8456,"{""对手分"": 4, ""局均全队总伤害血量"": 8456, ""局均总前哨站净胜血量"": 113, ""局均总基地净胜血量"": 3212, ""胜/平/负"": ""3/0/0"", ""胜场数"": 3}"
2025,2025RMUC,RMUC,565,南部赛区,A组,2,广东工业大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/257785f9-4ac3-4369-8e60-49ffe0b141e8,DynamicX,3/0/0,3,-2,3650,156,7549,"{""对手分"": -2, ""局均全队总伤害血量"": 7549, ""局均总前哨站净胜血量"": 156, ""局均总基地净胜血量"": 3650, ""胜/平/负"": ""3/0/0"", ""胜场数"": 3}"
2025,2025RMUC,RMUC,565,南部赛区,A组,3,华南理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/b81c5a92-dc8f-479d-97b4-d531a39ce70b,华南虎,3/0/1,3,6,1922,138,7423,"{""对手分"": 6, ""局均全队总伤害血量"": 7423, ""局均总前哨站净胜血量"": 138, ""局均总基地净胜血量"": 1922, ""胜/平/负"": ""3/0/1"", ""胜场数"": 3}"
2025,2025RMUC,RMUC,565,南部赛区,A组,4,北方工业大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525674177547-logo_purple_800x800.png,DreamTeam,3/0/1,3,-2,-365,260,4121,"{""对手分"": -2, ""局均全队总伤害血量"": 4121, ""局均总前哨站净胜血量"": 260, ""局均总基地净胜血量"": -365, ""胜/平/负"": ""3/0/1"", ""胜场数"": 3}"
2025,2025RMUC,RMUC,565,南部赛区,A组,5,华北科技学院,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525674748988-logo_blue_800x800.png,风暴,3/0/1,3,-3,620,99,5928,"{""对手分"": -3, ""局均全队总伤害血量"": 5928, ""局均总前哨站净胜血量"": 99, ""局均总基地净胜血量"": 620, ""胜/平/负"": ""3/0/1"", ""胜场数"": 3}"
2025,2025RMUC,RMUC,565,南部赛区,A组,6,桂林信息科技学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/d3dc9ad2-09a2-4a2a-b9cd-8ceee5baa400,GIRT,3/0/2,3,9,828,0,6529,"{""对手分"": 9, ""局均全队总伤害血量"": 6529, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": 828, ""胜/平/负"": ""3/0/2"", ""胜场数"": 3}"
2025,2025RMUC,RMUC,565,南部赛区,A组,7,佛山大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/8c88f498-f507-46b6-b4fa-c4e0da189364,醒狮,3/0/2,3,2,570,-67,5290,"{""对手分"": 2, ""局均全队总伤害血量"": 5290, ""局均总前哨站净胜血量"": -67, ""局均总基地净胜血量"": 570, ""胜/平/负"": ""3/0/2"", ""胜场数"": 3}"
2025,2025RMUC,RMUC,565,南部赛区,A组,8,厦门大学嘉庚学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/74fa4796-2b58-4d72-8b60-2150168b72fe,TCR,3/0/2,3,-6,-229,-4,3393,"{""对手分"": -6, ""局均全队总伤害血量"": 3393, ""局均总前哨站净胜血量"": -4, ""局均总基地净胜血量"": -229, ""胜/平/负"": ""3/0/2"", ""胜场数"": 3}"
2025,2025RMUC,RMUC,565,南部赛区,A组,9,广州城市理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/9365936c-3c07-449d-8e0e-2ed9e050e0f3,野狼,2/0/3,2,4,-1585,-59,3770,"{""对手分"": 4, ""局均全队总伤害血量"": 3770, ""局均总前哨站净胜血量"": -59, ""局均总基地净胜血量"": -1585, ""胜/平/负"": ""2/0/3"", ""胜场数"": 2}"
2025,2025RMUC,RMUC,565,南部赛区,A组,10,桂林电子科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525673879563-logo_blue_800x800.png,Evolution,2/0/3,2,0,-883,88,4059,"{""对手分"": 0, ""局均全队总伤害血量"": 4059, ""局均总前哨站净胜血量"": 88, ""局均总基地净胜血量"": -883, ""胜/平/负"": ""2/0/3"", ""胜场数"": 2}"
